Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,seed
Union-Find detection oracle,0.29388888888888887,0.4938888888888889,0.19956291593297226,0.2810694444444444,0.3093090277777778,0.1449907332712679,0.2611888141789502,0.20480727777693467,0.648921832884097,0.6577868852459017,0.6533242876526459,0.9091701534170153,0.8580555555555556,17
Kinetic-TopoGuard,0.29388888888888887,0.4938888888888889,0.19956291593297226,0.27874652777777775,0.3073680555555555,0.1314946890845148,0.2575173589043551,4.88892450000195,0.3480861244019139,0.9938524590163934,0.5155917788802268,0.5249302649930265,0.6202777777777778,17
stgcn:5,0.3352965800737848,0.3857949141916936,0.3656548387675518,0.32350163788084874,0.34489072576300356,0.3338313221874531,0.3980584048473556,0.17669531257524795,0.3385272681578286,0.9532908704883227,0.49962908011869434,0.5335814283182704,0.6176303854875284,17
Shallow ML (MLP),0.3519838931163152,0.3544386848804592,0.42556742257448776,0.3411604185222338,0.3633946894707365,0.3918047893748889,0.45018297594173906,0.027166041666835852,0.2959005669428696,0.9269125683060109,0.44859504132231404,0.43706415620641564,0.5366666666666666,17
tgn:5,0.36805387498502556,0.5403214614379923,0.11157381301576785,0.35442188869583124,0.3815509515787029,0.04458023874043606,0.16124217363512627,0.3826117188054923,0.3817282513820192,0.9285208775654635,0.5410309278350516,0.6234272550062023,0.6845238095238095,17
GraphSAGE,0.38314428102638987,0.4091453524413539,0.33690528328242886,0.3705965451972766,0.39704687220230694,0.2998688157206682,0.36759298129503915,0.04684843747781997,0.28352941176470586,0.9877049180327869,0.44058500914076776,0.36297071129707115,0.49,17
GAT,0.38368348717689515,0.4772698868711506,0.22649704183547903,0.370545621883538,0.3976716554115216,0.17894114088515312,0.27197384630675947,0.1191851561088697,0.3356294536817102,0.9651639344262295,0.4980613323933733,0.5123779637377964,0.6044444444444445,17
GCN,0.39629170184334117,0.47897121163573686,0.22373973454581686,0.38247660900569624,0.41012735825901225,0.17880791257343925,0.26636207164562486,0.04889296883447969,0.31493728620296463,0.9433060109289617,0.47221747307232004,0.47629009762900976,0.57125,17
PI+MLP,0.4412386088569959,0.4885832418080943,0.20816168536063473,0.4277772905375395,0.4523122309289045,0.18465002230830427,0.2278794820941634,0.034205468864456634,0.203559510567297,1.0,0.33826247689463956,0.001394700139470014,0.20444444444444446,17
tgcn:5,0.4461174764398004,0.43546388313107226,0.2839863953768119,0.4342723447339537,0.4555638497773465,0.24589294716715018,0.315607065947513,0.11268749994997052,0.2954112920279129,0.9886765746638358,0.4549006838163464,0.4095339358497253,0.5255102040816326,17
FANET-TopoGNN (concat),0.4471964259445667,0.4782359155542337,0.22493141604472322,0.4351163790993806,0.46107907044991026,0.1839881565514658,0.2658343182794199,0.05026406233810121,0.3132006405856783,0.9351092896174863,0.46923736075407024,0.4766387726638773,0.5698611111111112,17
FANET-TopoGNN,0.49007746413350106,0.5066966141757328,0.17880565956869876,0.4780122419912368,0.5016526062527877,0.12277078702506057,0.22037862503218053,0.06192656269377039,0.24724622945263514,0.9965846994535519,0.39619823489477257,0.22559274755927475,0.3823611111111111,17
